Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.5387328902841685,0.020726178363411726,0.9422122591341328,0.47417444381475293,20.096087433509943,0.5196837348622434
2,1.001169439418587,0.01429366295053038,0.6399607095889702,0.6388925722402014,19.988912794999262,0.5443457556121489
3,0.9987505805992081,0.013003214661723482,0.6236894532449231,0.6218868251903328,20.782445036442834,0.5513945017141454
4,0.9997292843978562,0.012725884717203186,0.5624104438570445,0.5606133954824801,20.858333594465833,0.556861237392706
5,1.0046168442971692,0.012222101649347537,0.6103582336945448,0.6140868504461414,20.763165202905924,0.5555679507465924
6,1.00036595769985,0.012177063959265898,0.7617120820319582,0.761222426662902,21.10622226674146,0.5620494924222722
7,1.001276485020529,0.01207822043671758,0.7182328419628258,0.7178204802553096,20.820186678151714,0.5601441050978267
8,1.0055391314500821,0.012146932833833609,0.6772772328867884,0.6821495836223671,20.909777058473704,0.5615145103721058
9,1.004840140813839,0.01184462960586398,0.6400663184548566,0.6435863105551212,20.777904290249737,0.5643241147784626
10,1.0033768696128251,0.011654146714303308,0.7015553813209077,0.7043092472681742,21.242212893855413,0.5591120823341258
11,0.9987254215857226,0.011347097213976755,0.7587518946139399,0.7564302707146742,21.276094282712428,0.5687349192184561
12,0.9973631469789379,0.01170048064948199,0.6720977722670504,0.6681325859509543,21.016831656357216,0.5657134989429923
13,0.9993550536732474,0.011580368826043106,0.5702819268146675,0.5671135896836926,21.34534224475674,0.5694290059454301
14,1.0028821081743984,0.011499091683702911,0.5605434230273355,0.5620092413382616,21.253010883615513,0.5686963529446546
15,1.002125439443988,0.011850497582090828,0.1192335227197662,0.1189924070454794,21.2728581096284,0.5707651024004993
16,1.0,0.011899136859633608,1.6411152523105345e-33,4.784677557377128e-34,21.343945797901842,0.569902270190856
17,1.0,0.011900000832751839,2.3959545624975737e-32,1.1449367218304606e-34,21.27354962479231,0.5676938800601399
18,1.0,0.011850188979042504,7.981698988931076e-33,1.1452945585829314e-35,21.362486950085923,0.5727869411777048
19,1.0,0.011827492370844602,1.6361888948599063e-32,8.992025195807497e-34,21.260271997305868,0.5742218384672614
20,1.0,0.011802903355104838,1.1105912408910315e-35,5.071060659268291e-34,21.356892862042503,0.5738822835683822
21,1.0,0.011788209960043074,4.9421431236887885e-34,8.598321680192831e-35,21.41885632065119,0.5713775148461847
22,1.0,0.011661421620917177,3.71216628277182e-33,1.5857352672163497e-32,21.416609186715505,0.5722196798815447
23,1.0,0.011650301434411973,5.736050089415503e-32,3.884779242541851e-34,21.408217105304786,0.5750988110023386
24,1.0,0.011574754635998588,3.9274566570682487e-32,2.1184877293019756e-32,21.431576107023318,0.5769206362261492
25,1.0,0.01165244051707005,4.687528215681281e-34,1.1003519285225341e-33,21.30011487907432,0.5765381317278918
26,1.0,0.01168323825531734,8.400500091399892e-33,1.7490370102938022e-32,21.423616880198963,0.5764626687765122
